Mass,LogL,LogL_lb,LogL_ub
0.07,-3.589862609720865,-3.6325610149226435,-3.553046970986797
0.07100000000000001,-3.5727724713843942,-3.6134744622271553,-3.537392328205426
0.07200000000000001,-3.555525244981955,-3.594617905429778,-3.5216693860242905
0.07300000000000001,-3.5383060115365224,-3.5753990996427265,-3.5059852619017304
0.07400000000000001,-3.5211867560156715,-3.5567270422380304,-3.490236587841846
0.07500000000000001,-3.5042560062880512,-3.5378192899482586,-3.4745591705934635
0.07600000000000001,-3.487326199043049,-3.519453180759295,-3.4589277250984196
0.07700000000000001,-3.470404758322693,-3.501117466532091,-3.443316363630776
0.07800000000000001,-3.453729789203067,-3.483147957040474,-3.4276538002208254
0.07900000000000001,-3.4370683223001794,-3.465138340852468,-3.4119427385929715
0.08000000000000002,-3.4203798081135517,-3.447206563567719,-3.396392915297822
0.08100000000000002,-3.4038685289106354,-3.4293462026200294,-3.3808939538123286
0.08200000000000002,-3.387484325065307,-3.4119600467708473,-3.3654787941982356
0.08229766542876583,-3.382711069404724,-3.406605289587806,-3.360818013971003
0.083,-3.371260133846951,-3.394462156303024,-3.350137219135934
0.084,-3.355103800245275,-3.377377543735726,-3.334720756286855
0.085,-3.3388511516562547,-3.360336468941359,-3.319299616929823
0.08600000000000001,-3.3228478609460175,-3.3434365352103916,-3.3039733797086805
0.08700000000000001,-3.306944110326093,-3.3267810336313843,-3.2887404386788193
0.08800000000000001,-3.291156925212258,-3.3102502419844906,-3.273286520509603
0.08811479731439766,-3.2893772015081284,-3.308294971990018,-3.271735095109075
0.08900000000000001,-3.2754617412187867,-3.2939121379106213,-3.258421023851901
0.08980164496364623,-3.262950936330289,-3.281126214009921,-3.2461779462446403
0.09000000000000001,-3.2599531067076595,-3.2778594317952585,-3.2432450767795853
0.09100000000000001,-3.2444997020373325,-3.261908727478588,-3.22816103468751
0.09138426165976109,-3.2385827026465517,-3.255832423875788,-3.222396297724566
0.09200000000000001,-3.2291332133340838,-3.246164507448639,-3.2130361380454673
0.09291457976248862,-3.21521192834746,-3.2319000370722506,-3.19936578504518
0.09300000000000001,-3.213925485119182,-3.230595530223251,-3.19817277877312
0.09400000000000001,-3.198858241102501,-3.2150764794444555,-3.18315189320975
0.09500000000000001,-3.1838853106395675,-3.200004792289801,-3.168341748686904
0.09600000000000002,-3.1691008259621958,-3.1848550015927146,-3.1537659648641654
0.09700000000000002,-3.1544340021807957,-3.169930264289234,-3.1389167684875043
0.09800000000000002,-3.13995668867217,-3.155353606406291,-3.124329588010439
0.09900000000000002,-3.1255476092546495,-3.140766270290136,-3.1099226994788536
0.1,-3.111251787909743,-3.1265669586393505,-3.095479616365575
0.101,-3.0969319647664553,-3.1122985183831346,-3.0811413258940763
0.10200000000000001,-3.0829571595614906,-3.0983064470266966,-3.0670061497156276
0.10300000000000001,-3.069092925798368,-3.08449740773457,-3.0530174704244404
0.10400000000000001,-3.055225906030051,-3.0708440311862106,-3.0391090005347507
0.10500000000000001,-3.041650513601648,-3.0573972130824005,-3.025435729470022
0.10600000000000001,-3.0280646655159176,-3.044016685093807,-3.011844519668325
0.10700000000000001,-3.0146918176045925,-3.0308933211672757,-2.9982105396039462
0.10800000000000001,-3.0015939446814794,-3.017822487270429,-2.9849671931734245
0.10900000000000001,-2.988511885052475,-3.0049334640068643,-2.9718121330734895
0.11000000000000001,-2.9756158614628214,-2.9921969492213876,-2.958650334496679
0.11007472155582318,-2.9745679016183506,-2.991219944730399,-2.957650972692229
