Teff,LogL,LogL_lb,LogL_ub
2100.0,-3.520006548613286,-3.715452930380996,-3.333565911550116
2105.0,-3.519743314876423,-3.71116862327589,-3.3359042050961127
2110.0,-3.5187375066496314,-3.7068863248544694,-3.338045525041863
2115.0,-3.517638815694842,-3.703121611218572,-3.339829583741056
2120.0,-3.5167276150497013,-3.6991403473183815,-3.3425328233676184
2125.0,-3.5158847140602703,-3.6952296407000143,-3.344053447406982
2130.0,-3.5146044947035757,-3.6910260920714455,-3.346166504834055
2135.0,-3.513305812053771,-3.687180574586782,-3.347717703698797
2140.0,-3.512579322596805,-3.6838873795873965,-3.349297357041163
2145.0,-3.5114444981751336,-3.6792490264264113,-3.3511646934515045
2150.0,-3.509811325522546,-3.6751978313745775,-3.352127948395874
2155.0,-3.5094193802907454,-3.6713142907674077,-3.354060211880889
2160.0,-3.508006713173292,-3.6679304006870628,-3.3555370228750965
2165.0,-3.506874652797583,-3.6637283184151763,-3.3572187286584696
2170.0,-3.5055305113464357,-3.660172636018825,-3.3586242092106136
2175.0,-3.5043629779982126,-3.65669386336862,-3.3598912252756565
2180.0,-3.5028912726279398,-3.6518326554932177,-3.360768503912409
2185.0,-3.5015975702852895,-3.6476502575688317,-3.362081138362709
2190.0,-3.499890894308617,-3.6433148083715774,-3.3633679833835566
2195.0,-3.4981525372032287,-3.6392588610799086,-3.364027276953594
2200.0,-3.496588989091376,-3.6348471425911715,-3.3647326387101675
2205.0,-3.494762714042477,-3.6306379859251883,-3.365854017754706
2210.0,-3.4928304615120935,-3.626701304713799,-3.366204699216374
2215.0,-3.4907858616543503,-3.6228040048947903,-3.367132516458809
2220.0,-3.4890226720749897,-3.6184053789754165,-3.367808281446195
2225.0,-3.487300112096436,-3.6143238180761226,-3.3680466122876864
2230.0,-3.4854630222767526,-3.6102594257469454,-3.368175172115006
2235.0,-3.4834906958144023,-3.6065498645803333,-3.368437171014331
2240.0,-3.4812746623075874,-3.602719227645902,-3.3682886567731627
2245.0,-3.4793850083494413,-3.5982070624213107,-3.3689074941302666
2250.0,-3.477268413895648,-3.593890506534013,-3.368232043725846
2255.0,-3.4753231580116184,-3.589669332428911,-3.368057215020104
2260.0,-3.473229373046877,-3.585476025850596,-3.3680500365191053
2265.0,-3.471363928542838,-3.5813761392898873,-3.3678302048158995
2270.0,-3.4688934194591097,-3.5770362889012164,-3.3676370806895806
2275.0,-3.4664784069079415,-3.5727076696200837,-3.367539178815017
2280.0,-3.464649072912086,-3.568348946234808,-3.36680952818351
2285.0,-3.4622817874995624,-3.5636449654635554,-3.366400148712244
2290.0,-3.4597910087557335,-3.5595872998132125,-3.3662588305251586
2295.0,-3.457222543336104,-3.5552489559355855,-3.365655606576749
2300.0,-3.45440373991844,-3.550954997962084,-3.3649993933270657
2305.0,-3.451846801254433,-3.5467527493557003,-3.3642829669564724
2310.0,-3.4492421822306367,-3.542656534295813,-3.3636947769131447
2315.0,-3.4470576760246843,-3.5385484364989073,-3.3624560164655444
2317.475794940307,-3.4458014389462988,-3.536300207067327,-3.3615117536005124
2320.0,-3.444251003147653,-3.534386167650272,-3.361192531612286
2325.0,-3.441413781466543,-3.5303852261439865,-3.3599335431215893
2330.0,-3.4388775941053584,-3.5264867325739346,-3.3588712984530953
2335.0,-3.436130330774188,-3.522033133209941,-3.3574078369172016
2340.0,-3.433410443178955,-3.517872098480215,-3.355755477402166
2345.0,-3.430503210508065,-3.513175018253752,-3.3543570826524465
2350.0,-3.4277955465925296,-3.5088363809155965,-3.3528951547565526
2355.0,-3.4247798777498866,-3.5045823589859046,-3.3509690820221003
2360.0,-3.4215565245695307,-3.49992695798011,-3.3490989420545283
2365.0,-3.4183945668715783,-3.4958302692234815,-3.34707960403598
2370.0,-3.4155123574834727,-3.4911559771957243,-3.344904328918979
2375.0,-3.412089940955542,-3.4870812986267095,-3.3428635017945387
2380.0,-3.4092921564841427,-3.4824220013928997,-3.3406436865565925
2385.0,-3.4057844616793287,-3.4777267318980116,-3.3388641528631657
2390.0,-3.4027091519769206,-3.47322854790778,-3.3360516459943224
2395.0,-3.3994261257609564,-3.4689429364696207,-3.333813945893758
2400.0,-3.395754034856698,-3.464577303013654,-3.3315062827833493
2405.0,-3.3922261011282644,-3.4600740476519865,-3.329359176222123
2410.0,-3.388946312405327,-3.4555510998625985,-3.3268749083326816
2415.0,-3.385371570635929,-3.4509798239573546,-3.3241291167216063
2420.0,-3.382071318247999,-3.4464860118556477,-3.3213443350264913
2425.0,-3.3786228978491266,-3.4418174541574666,-3.3182596287193755
2430.0,-3.3748884346391996,-3.4374259892999235,-3.315532285937138
2435.0,-3.37137689289638,-3.4329902282451874,-3.312984221120955
2440.0,-3.367835198065093,-3.428814071933568,-3.3098040386546783
2445.0,-3.364074186340696,-3.4243036973017005,-3.3070659387569146
2450.0,-3.360323898146192,-3.419893939116108,-3.3038211019746755
2455.0,-3.3564117554909085,-3.4155110542466005,-3.3006696807447127
2460.0,-3.352503658155443,-3.4109628038081237,-3.2973305450030517
2465.0,-3.3487583073479454,-3.406254937942038,-3.2938573264879825
2470.0,-3.3450509497647776,-3.401776690551841,-3.2906565001996775
2475.0,-3.34117385158392,-3.3974162601397278,-3.2867684354422106
2480.0,-3.3372849750740112,-3.3930964278727096,-3.2833354828016654
2485.0,-3.333108757609858,-3.3884102786528296,-3.2799416201905895
2490.0,-3.3288078395639413,-3.3839625769041453,-3.276296441368154
2495.0,-3.324839098831069,-3.378936048235701,-3.2727222529864477
2500.0,-3.3208219523213325,-3.374646398382688,-3.268917935061463
2505.0,-3.316482221328268,-3.369709119252028,-3.2652041420900417
2507.9993560328935,-3.3140957043575527,-3.367138386509459,-3.262831024021919
2510.0,-3.3123945594051234,-3.3650404903602067,-3.2611936909154147
2515.0,-3.308126009933795,-3.3605560792627664,-3.2572272800997606
2520.0,-3.3038467023429514,-3.355846042109588,-3.2532817128754794
2525.0,-3.2994481379076843,-3.3510568140448367,-3.2489286931275454
2530.0,-3.2952172959065313,-3.346453604990731,-3.2445917538897127
2535.0,-3.290747211196532,-3.341873121559133,-3.240455380338201
2540.0,-3.286262515140479,-3.337131682761687,-3.2363673709218115
2545.0,-3.2817903628531226,-3.3319958160409935,-3.2319915105661132
2550.0,-3.276964361965281,-3.3273128844192157,-3.227460735049329
2555.0,-3.2725748029685082,-3.3227445968360203,-3.2231941537386657
2560.0,-3.2677666851981897,-3.3179372812798076,-3.2186418431599253
2565.0,-3.2631844930149154,-3.3127227692242545,-3.214504429071837
2570.0,-3.2582653370472086,-3.3080630167443363,-3.210174304550619
2575.0,-3.2538368687031864,-3.303142585063782,-3.205552208739533
2579.606902889915,-3.2493919541911174,-3.298310639327005,-3.201297696889144
2580.0,-3.2490537053213906,-3.2979987076307404,-3.2010198016321696
2585.0,-3.2440394372977686,-3.2929723685177423,-3.196021925322216
2590.0,-3.2391499958022414,-3.288043052220514,-3.1914743886890835
2595.0,-3.234247440434685,-3.2830253933653983,-3.1868579382164763
2600.0,-3.2293454153550734,-3.2777624049400993,-3.1818662046310604
2605.0,-3.2243477859575096,-3.272653088868164,-3.1769909246453985
2610.0,-3.2192074160822433,-3.2676242653876266,-3.171959578428388
2615.0,-3.214127569698311,-3.2624979465302295,-3.1668166305565717
2619.176521634421,-3.2098079791558645,-3.257961775759932,-3.1621474813684647
2620.0,-3.208920304744202,-3.256990028526587,-3.1615493341025647
2625.0,-3.203846549829737,-3.25163038156941,-3.1560311918423434
